"Loam"||"131048250"|"133301175"
"Clay loam"||"131048251"|"133301176"
"Clay loam"||"131048254"|"133301319"
"Loam"||"131048255"|"133301601"
"Clay loam"||"131048252"|"133301177"
"Clay"||"131048253"|"133301600"
"Clay"||"131048275"|"133301197"
"Clay loam"||"131048276"|"133301198"
"Sandy loam"||"131048272"|"133301337"
"Fine sandy loam"||"131048273"|"133301195"
"Loam"||"131048274"|"133301196"
|"Bedrock"|"131048277"|"133301338"
|"Bedrock"|"131048278"|"133301617"
"Sandy clay loam"||"131048284"|"133301446"
"Loam"||"131048285"|"133301586"
"Clay loam"||"131048286"|"133301305"
"Clay"||"131048282"|"133301444"
"Clay loam"||"131048283"|"133301445"
"Sandy loam"||"131048279"|"133301304"
"Fine sandy loam"||"131048280"|"133301585"
"Loam"||"131048281"|"133301443"
"Loam"||"131048287"|"133301587"
"Fine sandy loam"||"131048288"|"133301306"
"Sandy loam"||"131048289"|"133301159"
"Clay"||"131048431"|"133301471"
"Clay loam"||"131048432"|"133301472"
"Sandy loam"||"131048428"|"133301339"
"Fine sandy loam"||"131048429"|"133301618"
"Loam"||"131048430"|"133301470"
|"Bedrock"|"131048433"|"133301473"
|"Bedrock"|"131048434"|"133301619"
"Sandy clay loam"||"131048422"|"133301308"
"Loam"||"131048423"|"133301589"
"Clay loam"||"131048424"|"133301447"
"Loam"||"131048425"|"133301448"
"Fine sandy loam"||"131048426"|"133301449"
"Sandy loam"||"131048427"|"133301450"
"Clay"||"131048420"|"133301307"
"Clay loam"||"131048421"|"133301588"
"Sandy loam"||"131048417"|"133301160"
"Fine sandy loam"||"131048418"|"133301161"
"Loam"||"131048419"|"133301162"
"Clay"||"131048293"|"133301199"
"Clay loam"||"131048294"|"133301200"
"Sandy loam"||"131048290"|"133301340"
"Fine sandy loam"||"131048291"|"133301620"
"Loam"||"131048292"|"133301341"
|"Bedrock"|"131048295"|"133301201"
|"Bedrock"|"131048296"|"133301202"
"Sandy clay loam"||"131048302"|"133301163"
"Loam"||"131048303"|"133301164"
"Clay loam"||"131048304"|"133301165"
"Clay"||"131048300"|"133301310"
"Clay loam"||"131048301"|"133301591"
"Sandy loam"||"131048297"|"133301451"
"Fine sandy loam"||"131048298"|"133301309"
"Loam"||"131048299"|"133301590"
"Loam"||"131048305"|"133301166"
"Fine sandy loam"||"131048306"|"133301592"
"Sandy loam"||"131048307"|"133301311"
"Sandy loam"||"131048308"|"133301203"
"Fine sandy loam"||"131048309"|"133301621"
"Loam"||"131048310"|"133301342"
"Clay"||"131048311"|"133301622"
"Clay loam"||"131048312"|"133301343"
|"Bedrock"|"131048314"|"133301475"
|"Bedrock"|"131048313"|"133301474"
"Loam"||"131047967"|"133301488"
"Silt loam"||"131047968"|"133301631"
"Sandy loam"||"131047969"|"133301353"
"Fine sandy loam"||"131047970"|"133301632"
"Sandy clay loam"||"131047971"|"133301354"
"Loamy sand"||"131047977"|"133301633"
"Clay"||"131047978"|"133301355"
"Sand"||"131047978"|"133301356"
"Clay loam"||"131047972"|"133301212"
"Sandy clay loam"||"131047973"|"133301213"
"Loam"||"131047974"|"133301214"
"Silty clay loam"||"131047975"|"133301215"
"Silt loam"||"131047976"|"133301216"
"Fine sandy loam"||"131047979"|"133301238"
"Sandy loam"||"131047980"|"133301110"
"Loam"||"131047981"|"133301111"
"Fine sandy loam"||"131047982"|"133301517"
"Sandy loam"||"131047983"|"133301239"
"Loam"||"131047984"|"133301384"
"Sand"||"131047985"|"133301112"
"Fine sandy loam"||"131047986"|"133301113"
"Sandy loam"||"131047987"|"133301531"
"Loam"||"131047988"|"133301252"
"Sand"||"131047989"|"133301532"
"Sand"||"131047990"|"133301253"
